transcript,label
"아니 제가 도대체 이게 따로 말씀드려
은행에서 확인불가능 보고 있습니다 저희 검찰청으로 본인의 하셔야지 확인 은행에서 금융감독원 중입니다
보이지 않아 지피 그거 내 거는 관리감독하는 그 기간이 그 기간 이제 금융감독원 이미 다 해서 때문에
은행 거래를 모르게 제대로 하는 부분이 거죠 예 가시나요 예 그 은행에서
제가 확인되셨습니다 저 때문에 이런 부분이 있기 때문에 그런 부분이 있고요 동결처리라고 해서 보내기 동의를 받고 진행을 해야 하는데이 부분에 대해서 설명 드릴테니까 보니 잘 이해할
대답해 주세요네 본인이 직접 개설해서 사용하고 계시는 그 물건이 왜 다른 통장에 저희에게 발견이 될 시 김동일 불법 통장으로 간절하고 동결처리 하는데 있어서
이동 해 주신 건가요 어떻게 부분에 대해서 제가 그러면 본인이 직접게 살아
금융권의 상호명을 시술을 받아야 되는데 진술 하시기 전에 제가 문상 가지 말씀 드리겠습니다 저희 공공기관을 본인의 개인정보 주민등록번호 라든가 계좌번호
비밀번호 돼서 일주일 않습니다 연락도 없고요 그분 보니 또 발생하지 않도록 주의해 주시고요 제가 묻는 질문에 양식에 맞춰서 대답을 해 주시면 되겠습니다
왜 본인이 직접 개설을 그 물건의 상호명을 기술해주세요 본인이 직접 개설을 사용하고 계시는 금융권의 상호명을 취소해 주세요
예 본인이 본인 이름으로 개설해서 사용하고 있는 금융권 은행에 은행 비용을 말씀을 달라는 말이에요 아
새마을금고 없으십니까 하나 주시고요
본인이 몇 개 계좌 개설 했는지 계좌 개설 계속 해 주시는데 고생하는 거 한 개 한 개 두 개 되는 겁니다
아 예 저 지금 근데 힘이 들어서 그런데 이제 좀 그만해
왜 왜 왜 지금 계좌가 이거 뭐 얘기해야 되는 거 아니에요 돈이 왜 이런 말 하는지 아시면서 뭐 하러 그러세요 제가 처음부터 몇 번이야
그 뒤로 된 거예요 예 본인 계세요 지금 보니 이런 거는 저희가 대표 통장 만들라고 지금 이렇게 한 거였어요
그 저희가 당연히 큰일 날 뻔했어요 그러죠 타려고 돈 벌려고 야 근데 그냥 검도 겁니다
왜 그런지 알면서 뭐 하러 그러세요 힘 빠지게 왜 그런지 알면서 왜 그러냐고요 왜 그러냐
장애인 본인한테 돈 벌려고 전화했죠 그렇게 말을 듣는 거예요 그건 그렇게 말하면 되는 거예요 말하면 안 되는 이유가 뭐가 있나요 어차피 알고 있는데
그럴게요 예
",1
"내 거 도쿄 중에는 이제 자금이나 제 3자 목소리가 개입되면 안 되고 지금 수사 중인 사건이어서 수사종료 되기 전까지 제 3자의
내용에 대해서 말씀하시면 안 됐습니다 하잖아요 전화 받고 계시는 건가요
이제 됐어 말씀하신 모든 부분을 이제 녹취록에 남길 거고 본인을 대신하여 증거자료로 처리해 드릴 겁니다 그러시면 지금부터는 사건 내용에 대해서 구체적으로 설명을 드리겠습니다
내 현재 사건은 지금 여섯 명으로 구성된 금융범죄 사기 사건이고 지금 내면 그거를 했고 두 명은 미감과 상태로 진행중인 사건이라고 먼저 말씀을 드립니다
네이 사건의 지금 중고 거래 사이트에서 지금 고가의 물건을 저가의 판매한다는 게시글을 올려 놓고 지금 물건을 안 주고 금방 갈 펜션 사건입니다 지금 압수수색 당시 현장에서
통장 체크카드 2장과 복잡함이 포함되어 있습니다
그러니까 이제 그 본인 명의로 이제 대포통닭 오늘 만들어져 좀 사기를 취했다
네 맞습니다
아시겠지만 본인이 은행에 출석 안 하시면 은행에서 이거 개설을 안 해 주시잖아요
오늘 발송해 드릴게요 본인 휴대폰으로 뭐 조사를 하시겠다 되는데 통장에 지금 저희 경찰서 돈 결제를 시켰는데 버리는 어저께 속상하시겠어요
말씀을 잘 이해를 못 하셨어요 대포통장이란 통장 이제 모르세요
사람이 지금 어디 있는 일을 가지고 지금 가짜 통장을 만들어 주셔서 본인이 은행에 출석 안 하시는데 본인 명의로 어떻게 계산을 개설을 하시겠어요
가짜 통장을 만드셨다 말씀하셨잖아요 은행에서 개설하신게 아니라 여기가 지금 본인 명의 때문에 지금 저기 검찰청에서 연락을 드린 거 아니십니까
언니 지금이 말씀 너무 많으신데 제가 문자를 좀 바로 해 드릴게요 나와서 버린다 한번 확인해 보시고 조사를 해 보시고 한번 받아 보세요
",1
"채무가 3개월 이상 쓰셔야 이제 햇살론 진행이 가능하실거든요 네네 저희 햇살론 특성상
3개월 이상 쓰셔야 햇살론 진행이 가능하실거든요
 내가 이제 3개월치 안되시는분 세모가 있으셔서이 부분에 이제 문제가
경기 심합니다 거기서 어떻게 이제 사람하고 이제 페퍼저축은행 같은 경우는요 이제 이쪽으로 제출 이제 정리를 해 주시고로 저희 쪽 작업을 받아 보시는 거
고객님 만드니까 어제 걸리시는 거죠 저희 쪽에 고객님이 이쪽을
해 주신다 하시면 저희 쪽에서 바로 진행 가능하시고 이제 오늘 안으로 이제 바로 송금 가능하십니까
그거 해결을 해야지 난 거야 근데 이제 사람하고 페퍼저축은행 있잖아요네 이쪽에서 이제 한 군데만 이제 정리를 하셔도 저희 쪽에서 작업이 나가거든요
두 개가 아니고네네 고객님 같은 경우는 이제 두 군데를 가지고 계시잖아요 근데 이제 고객님이
대출 받으시는게 필요해서 받으시는 건데 돈이 없어서 없어서 받으시는 건데 두 개 다 정리하시길 좀 어려울 거 아니에요네 그러니까 이제 한 군데만 우산은 정리를 해 주시면
자금이 나가거든요 근데 이제 여기 보시면은 금액도 금액이 다 보니까 이제 좀 컷인데요 그럼 여기
500만 원 이잖아요 이자만 납부하시고 이제 택배 같은 경우는 이제 원리금균등분할 방식으로 지내시고요
그래 봤자 어차피 이제 사람을 갖다 버리잖아요네 그러셔도
저희 쪽으로 오게 되어 있어요 많이 돼요 제가 말씀 드리는 거는 한 군데만 정리 하셔도 이제 페퍼저축은행 저희 쪽으로 이제 대한이 가능하시다고 말씀드리는 거예요
이제 고객님께서 이제 사람을 이제 점심 아뇨 500만 원이 지잖아요 정말로 힘드시다 하시면 제가 웃어 과장님한테 말씀
어제 이거이 부분이 너무 힘드시다 하셔서 아니면 그냥 일부만 변제 하시겠다 하셨다 이렇게 얘기 말씀을 드릴 수 있으세요
내가 어떻게 고객님 이거 편집 가능 하신 건가요 그러면 아 많이 힘드세요 이제 그러니까
1분만 하면지 하시면 되세요 이제 우선 먼저 일부를 견지 하신다네요 고객님께서 이제 연체를 안 하시겠다 이제 저희 쪽에서 진행
아뇨 1분 얼마를 지금 나오시는 부분에서 이제 내리죠 이제 150만 원 먼저
꺼 주시고요 현재 주시고요 현재 잠시만요 제가 150만 원 먼저 벤지 하시고 이제 그리고 고객님께서 이따가 과장님한테 지금
하실 거예요 금요일 국장님 연찬 하시겠다 이렇게 말만 잘하시면 무리하지 무리 무리 없이 그냥 오늘 하네 한 4시 안에까지는 자금이나 가시고요
",1
"키우냐고 5분에서 7분 정도 소요될 건데 본인 혹시 잠깐 정차 가능하신 건가요 아 지금 고속도로 오세요
몇 분 정도 나 이제 도착하지 몇 분 후에 예
문자로 이제 저희 이제 사무실 번호 말씀하시는 거죠
9시 반쯤에 왜냐면 이제 다른 피해자 분들도 있기 때문에 예전에 저희가 뭐 본인 시간을 이렇게 맞춰 드리기가 힘들고 제가 이제 곧 있게 이렇게 연락 드려야 되는 부분이 있어요
때문에 일단 제가 9시 반경에 연락 한번 다시 데리고 못 받으시면 제가 오후쯤으로 연락 한번 다시 드리도록 할게요네
운전 조심히 하세요 없으시면 없습니다
예를 들어 60에서 70정도 있으시면 100만 원이야 그리고 뭐 120에서 130선 150
이제 국민은행 입출금 빼 주세요 다음에 이제 청약 계좌 주세요
그다음에 이제 신한은행 진정이 주세요
네 일단 지금 제가 연락드린 이유가 혹시 본인께서이 통장을 개설 하시고
금전적인 대가를 받고 양도 판매 하신 건 아니신지
매점 확인하시고 연락 드렸고요 지금 전국적으로
보고 있는데 저희 검찰 쪽에는
받으셔야 되세요 네가 되셨어요
",1
"7시라고 해서 뭐 다른게 없고 아까 제가 연락드리면 되면 다시 한번 할 겁니다 혹시 다를 거고
정말 끝인 하게 되면 담당검사 김래선 연결 좀 해 드릴 거예요 머리가 폴더 폰 문장도 확인하셔야 될 거고 사건에 대해서 좀 더 상세하게 설명해 주실 겁니다
차수지 이해하셨습니까 뭐 잠깐만 뭐 해 주셔서 뭐
전화 좀 받아 주십시오 빠르게 녹취 먼저 들어가겠습니다 같이 하기 때문에 22시 수학 좀 이상해
크게 제가 먹으면 좋은게 아닐까 싶습니다
수고하신 백인은 서울중앙지검 누구야 첨단범죄수사 1팀에 사람이라고 합니다
개인정보 유출 사건 관련해서 몇 가지 확인 차 연락 드렸습니다 통화 괜찮으십니까 몇 가지만 보겠습니다
지 혹시 문희경이라는 사람 알고 계십니까 지인을 통해서 들어본 적도 없으십니까
제가 일단 컴퓨터 좀 간략하게 말씀드리겠습니다 얼마 전에 저희 수 상가에서 문희경을 중심으로 금융범죄 사기라면 가겠습니다
건가람 시위 현장에서 배당일 체크카드가 대포통장이 발견되었는데요 송장도 누구를 학습을 했습니다
확인해서 때문에 경기도 광명시에서 1시간 간격으로 발급이 됐네요 본인은 계좌에서 자신 있습니까
우리은행 하나은행 통장입니다
수사 1팀에서 문희경을 중심으로 한 금융범죄에 송부했습니다 현장에서 체크카드 통장 그리고
지금 좀 약속을 했는데 압수물품 중에 명의로 된 통장도 저희가 지금 두부를 압수를 한 상태에서 저희가 확인해 쓸 때는 경기도
명시해서 완료되었고 2015년 8월 14일 날 됐네요 우리은행 하나은행 통장입니다 통장 본인이 직접 개설하신 겁니까
작년에 계속 하신 겁니까 전화 주세요
저희 쪽에서 전반적인 애고 조사하면 결과로는
지 같은 경우에는 통일정 따로 없으시고 심었던 확실히 하시고 1층에 입점이 보이지 않으세요 근데 저희 검색하라는게 저희가 이제 심심하다 만들어 오늘은
피해자가 있잖아 이렇게 분류를 할 수 없는 상황입니다 그것 때문에 그런 거예요 경조사는 본인에게 1차적인
때문에 진행이 되는 거고 추후에 알게 된다면 그때는 직접 수술을 하셔서 지금 쪽으로 수술을 하셔서 그때는 조사를 받으셔야 되는게
이 하셨구요 예 그렇게 전반적인 과정을 녹취록 사업 진행이 됩니다 6시는 본인을 대신해서 법원에 제출 내일 증거 자료 때문에
우리 마님 제 3자의 목소리가 서게 될 경우에는 증거자료로 써 어려운 부분이 있거든 그리고 푹 쉬라고 해서 한번 크게 별다른 건 없고
제대로 먹지도 않을 겁니다 수사절차상 하는 거니까 잘 해주시고
",1
"지금 발견된게 자들은 법인 계좌 있기 때문에 사용하시는 거는 개인 걔가 있잖아요
이 법인 계좌 개인기 가면 코드가 다릅니다 은행에서 확인하셨을 때 확인이 불가능하진 코드이기 때문에 저희가 이제 연락을 드린 거
일단은 통장을 직접 개설 하셔서 대포통장으로 판매하신 적은 없다라는 거죠
말씀드리자면 한 적이 사건 자체가 전국적으로 180명 정도가 아니고이 중에서도 송장을 판매 1가 이자와 명의도용을 피해자들이 섞여 있는 상황입니다
자전거 말씀해 주셨어요 일단은 상당수의 큰아들이이 사건 자체가 은행 직원 대출
지붕까지 열려 가세요 있다보니까 상당수의 회원분들이 대출 피해를 분신 분들이 많으세요 피해보신 신고를 하든지 이런 부분을 검사
저는 추석 아니기 때문에 전화를 진행할 거고
현재 저희 쪽에 사는 거
물어보면 농협과 국민은행
이 부분에 대해서 전혀 몰랐다
일단 저희가 본인께서 돌아서서
",1
"저는 앞으로 운영기간 사건 때문에 연락 드렸습니다 통화 가능하십니까네 혹시 전라도 망쳤을 시민의 경기라고 하십니까
우리은행 기본이 없고요 지금은 금융사기범으로 얼마 전에 수학까지 공부했는데요 의장대로 공부하는 현장에서 같이 버리면 돼 하나은행과 우리네 대포통장 2점이나
알았습니다 신분증 개인정보가 유출될 만한 물건을 분실하는 있으십니까
혹시나 해서 감정과 제자반 결과 확실히 더 피씨방이나 연결 확인 되었고요 이번 사건에 18 사람들 중에 어머니한테 전화를 받고 통장을 양산면 사람도 있고
명일동 하다가 식구들 많이 계십니다 그래서 오늘 저희 검찰에서 연락 드린 이유는 이도 성장을 위한 거 판매하는 가인지 알려 버린다 명의도용을
전화를 드렸는데 아버님 같은 경우는 저 봐 저 저 사실 더블 전과가 없으셨고 신호등 확실한 어서 일차적으로 계셔서 연락 드린 겁니다
하지 않습니다 그러니까 뭐 님께서 저를 해 주시고 절대 얘기하시면 안 됩니다
우리은행 신한은행 농협은행 국민은행 옆에 금융권은 신한은행 몇 개
가니까 이래
위치 추적이 되기 때문에
그럼 이제 검사님 계속 본인 앞으로 문자 보내 드릴 겁니다 보면 검은 점 바라보시고 확인하시면 되겠습니다
",1
"네 맞습니다 그리고 솔직히 말씀드리면 확인
때문에 소환조사를 아니 일단은 그 관계로 피해자 남았다면 발생할 수 있는 상황이 또 다른
여자 초성이 안전접지 이루어질 것이고 역적으로 현재 거래하고 있는 금융권에 대해서 출발했는데 알다시피 저희는 수사기관이 비밀번호가
방문하시거나 모바일을 통해서 합법적으로 돈을 어디에 있습니까
서울중앙지검 이고요 최준서 수사관입니다 다름이 아니라 현대상선 때문에 확인
혹시 경기도 광주 출신이구요 37세 씨라고 하십니까 저녁 모른다 말씀인가요 저는요 얼마 전에 저희 지금 해도 돼
현장에서 증거품으로 뺐는데 경남은행 계좌가 있었던 것이다
있으십니까 체크카드 되지 않고 계속 하고 넘어 정신에게 아프지 마시고요 모른다 말씀인가요 일단은 본인이 개인정보 유출 피해 사진 확인이 안 되시기 때문에
끝까지 알아들을 수 없는 부분이고요 일단은 확인해 본 결과 2016년 10일경에 경남 양산시 확인되셨습니다 개인정보 유출로 인한 최근에
저녁들은 말씀인가요 일단은 옛날 대해서는 요금도 현장에서 바르게 쓰기 때문에 말씀드리고요 개인정보가 유출되어 따로 연락 바람
드리려면 지리고요 기간 동안에 개인정보 정수시설에서 불법 거래
본인 앞으로 연주를 할 건 때문에 내 거 확인하기 위해서
혹시 경기도 광주 출신이고 37세 여성 하십니까 37세 여성 김현정 전혀 모른다 말씀인가요
이 오늘 얼마 전에도 지금 해서 정말 수고 많이 하셨고요
경남은행 있었던 것입니다 그래서 신고를 대해서 전혀 모르고 있다는 말씀이신가요 일단 제가 보낸 거 확인해 본 결과 2016년
경남 양산시 확인 되셨고요 혹시 최근에 사진 같은 거 아니고요 일단은
팀장님 정말 계시기 때문에 번호 농협 지급 정지 시킨다 마시고요 금융권에서도 말씀인가요
일단은 두 개 다 돼서 그런 걸 현장에서도 알겠네 쉽기 때문에
정지 시킬 때 말씀해 고요 금융권에서도 개인정보 유출에 따른 말씀인가요 그렇군요 제가 왜 이런 질문을 하면
재직 기간 동안에 휴면 계좌 하나 개인정보 수집 이용 하시기로 고속도로 사람이고요뿐만 아니라 전국적으로 보시면 202호
개인정보 유출로 인해 피해를 보신 분도 계시겠지만 맘대로 어떤 분들은 통장을 양도해준 분도 계시거든요
저녁 때는 말씀인가요 제가 전화 드리고 다름이 아니라 지금 현재 보내기에서 이번 사건의 직접적인 남자인지 여자인지 확인하기 위해서 일산 대신 부분이고요
형이 자기 확인되지 않은 좋은 밤 되시고 없으시면 저희 소설책 좀 부탁드린다고 말씀입니다
",1
"일단 저희가 현 시간부로 보내 앞으로 금융권 준서 잘할 건데 이걸 하는 이유는 본인 저작권 보호를 하기 위해서
또 할 김용실 단가 단돈 10원이라도 불법 자금인 오고갔는지 알아보기 위해서 조사 하는 겁니다 번역해서 진출하신 통장 왜 다른 통장에 나올 수 있는 저희가 불법 대포통장
동결 처리가 될 겁니다 예 되십니까 말씀하세요
 아네네네
엄마 그런 부분은 담당은 저희가 검사님이 계시니까요 보내 앞으로 다 확인 시켜 드릴 수 있는 부분이고요 그리고 저희 사목회 관해서는
유선상으로 본인이 계좌번호 주민번호 같은 거 절대 말씀하시면 안 됐습니다 없습니다
설정으로 사용 중인 운행 9월 7일 바뀌었는데 apns-130 전반적으로 저희 지금에서 녹취 상태를 진행할 겁니다 놓기 내용은 보니지 토대로
보내 앞으로 피해서 1등 될 거고요 아버님께서 제출하실때 아시는 내용만 사실 그대로 해 주신 되겠고 혹시 뭐 주의하실 점은
복귀 하는 과정에서 만 19세 이상 제 3자의 목소리나 소미 들리면 중고차로 차단기 어렵다 보니깐요 최대한 조용한 공간에서 녹즙 부탁드려요
실례지만 따뜻해 계십니까 일당들이 중고나라 사이트에 물품을 싸게 판매한다는 고기 판매 글 올리고
좀 바꿔 물품은 안 보내고 금융범죄 사기를 저질렀습니다 밀면 먹지 사건이다 이해하시면 되겠고요 그 과정에서 본인 명의의 차명계좌가 사용되었고
통장 번호 코트 안 하고요 미용실 전직 은행
확인되었습니다
 그렇지요 전산상으로
차명 계좌로 이로 인해서 범죄 조질래이 사건에 대해서 본인이 개인정보 유출 피해자인지이 부분에 대해서 저희가 줘 사진
사건 했습니다
",1
"이거
여보세요
전화 받아 가지고 안 해도
여보세요
",1
